,M,Sigma,Nsig,Nbkg,Merr,Serr,Nsig_err,Nbkg_err
525.0,497.65284582681136,4.736428410657263,2542.468873487086,225.35555913077476,0.10048863605419456,0.09414804854069292,52.06753539698798,19.847292051895778
537.5,497.7127675074405,5.225388218381962,2322.6806863354764,191.4326654127001,0.11637596636970216,0.11106081729033113,50.027507146282915,19.266920660926218
550.0,497.7423388041209,5.690691423651096,2102.9469011797196,153.0419140665553,0.13272933632899253,0.1229509069386836,47.56661499223924,17.679979905271765
562.5,497.6070954912434,5.814598051468014,1859.8296644071145,211.13477126905855,0.14778273984310886,0.14719067957856247,45.67499665034677,20.913077306905905
575.0,497.8828646810866,5.850321434778644,1805.8939404693497,132.04154150491877,0.14725384203737235,0.13752706859022545,44.11943678649948,16.511992513881573
587.5,497.7024923314449,5.9873946259651945,1700.7108076298239,113.37029166493396,0.1545260831645976,0.14207047103593018,42.69527388962024,15.341534107113361
600.0,497.9907734954719,6.314704908790618,1622.6979394783737,105.33883890658502,0.16610715245255392,0.1443471410041024,41.59745103216869,14.591142357759878
612.5,497.6461268034883,6.75667107012749,1455.7378468802062,103.18350777554552,0.19124987151016626,0.1870073207501286,40.0968748986902,15.97347740554023
625.0,497.6813311882449,6.416374738299046,1393.1035182128626,115.63740069037343,0.18483848795773383,0.17532044509677291,39.042687411677775,15.7110526314504
637.5,497.69955217445226,6.79139229142838,1303.99072830073,76.98562790732466,0.20038368953419194,0.1904682670485407,37.658679709101534,13.823358350357196
650.0,497.88748992607134,7.220258535584456,1210.5151044525253,78.40151676130303,0.2222577118710376,0.21081544402192254,36.52372643016827,14.205954937900216
662.5,497.6559039465833,6.6792205662201205,1080.381064439867,108.63319451812126,0.222863293680291,0.23777349335642484,35.281701754572055,16.51864340419712
675.0,497.6615077992618,6.6544610049184625,1104.8476888464666,105.15637918360731,0.21605026909745106,0.19948522046951966,34.895287215280746,14.761594885611686
687.5,497.9315775696383,7.032144177968677,966.9594959603511,63.07665349778668,0.24077497641502532,0.2143066662017823,32.36309735931144,11.969423423571598
700.0,497.6204603266772,7.544976262015293,884.9898196792217,78.01662908421414,0.27700122108186065,0.27468732008049646,31.810164419723833,14.311670923622287
712.5,497.83932654256245,6.79925140073884,939.6887530836395,76.21211045740684,0.2376102179141526,0.2143867924474514,31.996400098802155,12.65851507708998
725.0,497.9430312715834,7.250021369269758,1025.4259587522906,53.68912627763089,0.2393703034113912,0.21352700284130988,33.19606752525402,11.404321125710936
737.5,497.74026788935646,7.666974689955628,1295.81609442459,80.17474432208293,0.22920173555297652,0.2247534887333975,38.0751931577189,15.29538373880979
750.0,497.76802501001004,7.341490619738014,1459.6287437872613,129.27108389754483,0.2086965423046081,0.20664769240851388,40.7078816873352,18.076342286068737
762.5,497.97545336563144,7.426486457863255,1891.5176387233557,129.4568770843263,0.18119951924705902,0.1543888024017397,45.198059512041596,16.75458168534533
775.0,497.9865037821613,7.874892390117277,2107.7238381597754,118.30022132291518,0.18358606622368256,0.18436272446944013,48.69615806072375,19.535574734721727
787.5,497.6892776223748,7.803181659620964,2199.0551542538597,128.02703710238507,0.1772345727935658,0.16201723896864584,49.101870415996245,18.432421034688446
800.0,497.83171729585894,8.074636112025296,2332.904229070315,120.18791801137819,0.177819413315774,0.16666633523086327,50.81085105038119,19.20449345576104
812.5,498.0403815080911,8.110283032012857,2312.7953235665022,117.26093486754696,0.17919746718769147,0.1663959976465188,50.47389110693916,18.75835187809571
825.0,497.84085837824705,7.860370791315587,2104.3015634832072,156.65667855849952,0.18415827510190752,0.17115955518957593,48.477839055524555,20.05719398736045
837.5,497.7696861818762,8.437738753250994,1897.3441191463824,104.87499734780748,0.20717225695261732,0.2009351194797473,46.13475886172671,18.3197189332922
850.0,498.0382928991968,8.4258499350505,1414.6728743000824,88.32029839089795,0.24001080828656995,0.2295071122922181,39.969003318185514,16.462643917976692
862.5,498.48905019024704,8.324488546983773,1008.4768431439239,61.52793234220222,0.27883941598256,0.24715937788248787,33.243678272548664,12.57435933837531
875.0,498.82391881241375,7.46396182287163,634.5640485064974,66.35774294625485,0.32089577842336325,0.28449077818013,26.643700995351878,11.901476825822265
887.5,499.71131952765415,8.610003612666723,436.53281112968625,37.41909355873862,0.45056502451492975,0.42694256373392214,22.409401801787283,10.154269515893432
900.0,499.11518027116654,7.605249613789989,293.1194782294311,41.844125752701025,0.4910877774523499,0.4412838528567544,18.420584635289714,9.383504689263631
912.5,499.88442080436096,8.667131484096045,214.70936958612464,29.18226362562526,0.6572809307644434,0.6555298481626224,16.203371981560196,8.77757578287319
925.0,498.318451497053,9.331964245419075,215.41374147251992,17.59309330588088,0.6942124590335368,0.6177050057319828,15.832536703841427,7.268153310557468
935.0,499.45184083792117,9.319527576356899,195.26245408442168,15.741088525538682,0.7116066137582209,0.5758637656171297,14.755487312992358,6.179022693357849
945.0,499.8889056345636,9.673000351427275,217.53743374688938,22.296427273494345,0.7176219980183589,0.6689413423351924,16.230345217371763,8.260121558139987
950.0,500.3465157370684,10.02797874985808,200.0539614099961,17.945940102117586,0.7672792625652676,0.7032568175756904,15.37600623721103,7.3677964026681035
962.5,499.35239562628647,9.005787209007005,203.82067086242571,33.17095256937874,0.707121026379042,0.6850927610231157,15.934436537332061,9.120768675111025
975.0,498.8383473319369,10.182198115853561,235.10354086114793,7.93286193546705,0.7024634908257781,0.5827060916266156,15.990252861292063,5.335283529779522
987.5,498.2038446200364,9.754121927543672,248.1297497253232,17.838633223970056,0.6674770990692025,0.6452713509444177,17.10858023389605,7.898124132667605
1000.0,498.4750385908817,9.822597517235081,258.5614978561135,27.43627203885579,0.6671714502267889,0.5859376294655121,17.4680476979633,8.601901270265
